symbol,strike,expiration,calls-oi,puts-oi,calls-vol,puts-vol,flag,P/C
AAPL,75,12/19/2025,0,0,45,2,C,0.044444444
AAPL,75,1/16/2026,0,0,2,5,P,2.5
AAPL,75,6/18/2026,,0,,25,P,#DIV/0!
AAPL,80,1/19/2024,0,0,4,4,C,1
AAPL,80,1/26/2024,,0,,0,C,0
AAPL,80,2/2/2024,,0,,0,C,0
AAPL,80,2/16/2024,0,0,22,1,C,0.045454545
AAPL,80,3/15/2024,0,0,2,2,C,1
AAPL,80,4/19/2024,0,0,2,1000,P,500
AAPL,80,5/17/2024,0,0,1,10,P,10
AAPL,80,6/21/2024,0,0,2,1,C,0.5
AAPL,80,8/16/2024,,0,,12,P,#DIV/0!
AAPL,80,9/20/2024,0,0,2,1,C,0.5
AAPL,80,12/20/2024,0,0,1,5,P,5
AAPL,80,1/17/2025,0,0,1,5,P,5
AAPL,80,6/20/2025,0,0,10,5,C,0.5
AAPL,80,9/19/2025,,0,,1,P,#DIV/0!
AAPL,80,12/19/2025,0,0,1,2,P,2
AAPL,80,1/16/2026,0,0,45,1,C,0.022222222
AAPL,85,1/19/2024,0,0,10,5,C,0.5
AAPL,85,2/16/2024,0,0,4,1,C,0.25
AAPL,85,3/15/2024,0,0,10,2,C,0.2
AAPL,85,4/19/2024,0,0,1,167,P,167
AAPL,85,5/17/2024,0,0,2,4,P,2
AAPL,85,6/21/2024,0,0,8,7,C,0.875
AAPL,85,7/19/2024,0,0,5,1,C,0.2
AAPL,85,8/16/2024,,0,,0,C,0
AAPL,85,9/20/2024,84,0,76,1,C,0.013157895
AAPL,85,12/20/2024,214,0,3,1,C,0.333333333
AAPL,85,1/17/2025,0,0,234,6,C,0.025641026
AAPL,85,6/20/2025,0,0,50,5,C,0.1
AAPL,85,9/19/2025,4,0,0,2,P,#DIV/0!
AAPL,85,12/19/2025,0,0,2,2,C,1
AAPL,85,1/16/2026,0,0,1,1,C,1
AAPL,85,6/18/2026,0,,0,,C,0
AAPL,90,1/19/2024,0,0,2,10,P,5
AAPL,90,2/2/2024,0,0,0,0,C,0
AAPL,90,2/16/2024,0,0,1,1,C,1
AAPL,90,3/15/2024,0,0,2,2,C,1
AAPL,90,4/19/2024,0,0,1,2,P,2
AAPL,90,5/17/2024,0,0,0,1,P,#DIV/0!
AAPL,90,6/21/2024,0,0,20,2,C,0.1
AAPL,90,7/19/2024,0,0,1,1,C,1
AAPL,90,8/16/2024,,0,,0,C,0
AAPL,90,9/20/2024,0,0,1,5,P,5
AAPL,90,12/20/2024,0,0,2,1,C,0.5
AAPL,90,1/17/2025,0,0,4,1,C,0.25
AAPL,90,6/20/2025,0,0,1,2,P,2
AAPL,90,9/19/2025,0,0,1,2,P,2
AAPL,90,12/19/2025,0,0,4,300,P,75
AAPL,90,1/16/2026,0,0,1,4,P,4
AAPL,90,6/18/2026,0,,0,,C,0
AAPL,95,1/19/2024,0,0,13,3,C,0.230769231
AAPL,95,2/2/2024,0,,0,,C,0
AAPL,95,2/16/2024,0,0,7,2,C,0.285714286
AAPL,95,3/15/2024,0,0,2,20,P,10
AAPL,95,4/19/2024,0,0,1,3,P,3
AAPL,95,5/17/2024,0,0,0,300,P,#DIV/0!
AAPL,95,6/21/2024,0,0,2,1,C,0.5
AAPL,95,7/19/2024,0,0,1,1,C,1
AAPL,95,8/16/2024,,0,,5,P,#DIV/0!
AAPL,95,9/20/2024,80,0,2,1,C,0.5
AAPL,95,12/20/2024,0,0,2,40,P,20
AAPL,95,1/17/2025,0,0,5,3,C,0.6
AAPL,95,6/20/2025,0,0,1,2,P,2
AAPL,95,9/19/2025,0,0,6,2,C,0.333333333
AAPL,95,12/19/2025,0,0,8,16,P,2
AAPL,95,1/16/2026,0,0,3,10,P,3.333333333
AAPL,95,6/18/2026,,0,,0,C,0
AAPL,100,1/19/2024,0,0,19,15,C,0.789473684
AAPL,100,1/26/2024,0,,1,,C,0
AAPL,100,2/9/2024,0,0,0,20,P,#DIV/0!
AAPL,100,2/16/2024,0,0,2,4,P,2
AAPL,100,2/23/2024,,0,,0,C,0
AAPL,100,3/15/2024,0,0,3,72,P,24
AAPL,100,4/19/2024,0,0,1,5,P,5
AAPL,100,5/17/2024,0,0,0,1,P,#DIV/0!
AAPL,100,6/21/2024,0,0,16,1,C,0.0625
AAPL,100,7/19/2024,0,0,1,1,C,1
AAPL,100,8/16/2024,0,0,0,0,C,0
AAPL,100,9/20/2024,0,0,10,851,P,85.1
AAPL,100,12/20/2024,0,0,1,4,P,4
AAPL,100,1/17/2025,0,0,7,8,P,1.142857143
AAPL,100,6/20/2025,0,0,2,20,P,10
AAPL,100,9/19/2025,0,0,0,1,P,#DIV/0!
AAPL,100,12/19/2025,0,0,2,3,P,1.5
AAPL,100,1/16/2026,0,0,4,16,P,4
AAPL,100,6/18/2026,0,0,13,4,C,0.307692308
AAPL,105,1/19/2024,0,0,2,15,P,7.5
AAPL,105,2/2/2024,,0,,1,P,#DIV/0!
AAPL,105,2/9/2024,,0,,0,C,0
AAPL,105,2/16/2024,6,0,1,7,P,7
AAPL,105,2/23/2024,,0,,0,C,0
AAPL,105,3/15/2024,0,0,18,62,P,3.444444444
AAPL,105,4/19/2024,0,0,1,2,P,2
AAPL,105,5/17/2024,,0,,1,P,#DIV/0!
AAPL,105,6/21/2024,0,0,1,1,C,1
AAPL,105,7/19/2024,,0,,1,P,#DIV/0!
AAPL,105,8/16/2024,,0,,1,P,#DIV/0!
AAPL,105,9/20/2024,0,0,1,10,P,10
AAPL,105,12/20/2024,0,0,28,1,C,0.035714286
AAPL,105,1/17/2025,0,0,4,11,P,2.75
AAPL,105,6/20/2025,0,0,3,7,P,2.333333333
AAPL,105,9/19/2025,,0,,10,P,#DIV/0!
AAPL,105,12/19/2025,0,0,1,100,P,100
AAPL,105,1/16/2026,0,0,4,29,P,7.25
AAPL,105,6/18/2026,0,,0,,C,0
AAPL,110,1/19/2024,0,0,8,12,P,1.5
AAPL,110,1/26/2024,,0,,0,C,0
AAPL,110,2/2/2024,,0,,0,C,0
AAPL,110,2/9/2024,,0,,6,P,#DIV/0!
AAPL,110,2/16/2024,0,0,24,43,P,1.791666667
AAPL,110,2/23/2024,,0,,0,C,0
AAPL,110,3/15/2024,0,0,26,2,C,0.076923077
AAPL,110,4/19/2024,0,0,1,5,P,5
AAPL,110,5/17/2024,0,0,1,1,C,1
AAPL,110,6/21/2024,0,0,2,2,C,1
AAPL,110,7/19/2024,0,0,2,14,P,7
AAPL,110,8/16/2024,,0,,1,P,#DIV/0!
AAPL,110,9/20/2024,0,0,2,4,P,2
AAPL,110,12/20/2024,0,0,10,11,P,1.1
AAPL,110,1/17/2025,0,0,2,16,P,8
AAPL,110,6/20/2025,0,0,40,3,C,0.075
AAPL,110,9/19/2025,1,0,1,2,P,2
AAPL,110,12/19/2025,0,0,5,100,P,20
AAPL,110,1/16/2026,0,0,6,10,P,1.666666667
AAPL,110,6/18/2026,0,0,15,0,C,0
AAPL,115,1/19/2024,0,0,9,8,C,0.888888889
AAPL,115,1/26/2024,,0,,1,P,#DIV/0!
AAPL,115,2/2/2024,,0,,1,P,#DIV/0!
AAPL,115,2/9/2024,,0,,1,P,#DIV/0!
AAPL,115,2/16/2024,0,0,5,7,P,1.4
AAPL,115,3/1/2024,,0,,0,C,0
AAPL,115,3/15/2024,0,0,1,2,P,2
AAPL,115,4/19/2024,0,0,1,1,C,1
AAPL,115,5/17/2024,0,0,1,13,P,13
AAPL,115,6/21/2024,0,0,8,11,P,1.375
AAPL,115,7/19/2024,40,0,0,3,P,#DIV/0!
AAPL,115,8/16/2024,,0,,1,P,#DIV/0!
AAPL,115,9/20/2024,0,0,5,157,P,31.4
AAPL,115,12/20/2024,0,0,1,3,P,3
AAPL,115,1/17/2025,0,0,1,713,P,713
AAPL,115,6/20/2025,0,0,1,3,P,3
AAPL,115,9/19/2025,0,0,2,1,C,0.5
AAPL,115,12/19/2025,0,0,1,4,P,4
AAPL,115,1/16/2026,0,0,2,1,C,0.5
AAPL,115,6/18/2026,0,0,0,1,P,#DIV/0!
AAPL,120,1/19/2024,0,0,73,11,C,0.150684932
AAPL,120,1/26/2024,,0,,60,P,#DIV/0!
AAPL,120,2/2/2024,,0,,11,P,#DIV/0!
AAPL,120,2/9/2024,0,0,1,3,P,3
AAPL,120,2/16/2024,0,0,11,123,P,11.18181818
AAPL,120,2/23/2024,,0,,0,C,0
AAPL,120,3/15/2024,0,0,30,3,C,0.1
AAPL,120,4/19/2024,0,0,1,14,P,14
AAPL,120,5/17/2024,0,0,25,1,C,0.04
AAPL,120,6/21/2024,0,0,19,3,C,0.157894737
AAPL,120,7/19/2024,5,0,5,9,P,1.8
AAPL,120,8/16/2024,,0,,1,P,#DIV/0!
AAPL,120,9/20/2024,0,0,2,8,P,4
AAPL,120,12/20/2024,0,0,3,6,P,2
AAPL,120,1/17/2025,0,0,3,7,P,2.333333333
AAPL,120,6/20/2025,0,0,3,3,C,1
AAPL,120,9/19/2025,0,0,14,2,C,0.142857143
AAPL,120,12/19/2025,0,0,2,104,P,52
AAPL,120,1/16/2026,0,0,4,6,P,1.5
AAPL,120,6/18/2026,0,0,75,0,C,0
AAPL,125,1/19/2024,0,0,38,12,C,0.315789474
AAPL,125,1/26/2024,0,0,0,1,P,#DIV/0!
AAPL,125,2/2/2024,,0,,6,P,#DIV/0!
AAPL,125,2/9/2024,0,0,0,100,P,#DIV/0!
AAPL,125,2/16/2024,0,0,18,14,C,0.777777778
AAPL,125,2/23/2024,,0,,6,P,#DIV/0!
AAPL,125,3/1/2024,,0,,0,C,0
AAPL,125,3/15/2024,0,0,1,40,P,40
AAPL,125,4/19/2024,0,0,6,3,C,0.5
AAPL,125,5/17/2024,0,0,1,1,C,1
AAPL,125,6/21/2024,0,0,1,14,P,14
AAPL,125,7/19/2024,0,0,1,3,P,3
AAPL,125,8/16/2024,,0,,2,P,#DIV/0!
AAPL,125,9/20/2024,0,0,6,13,P,2.166666667
AAPL,125,12/20/2024,0,0,1,16,P,16
AAPL,125,1/17/2025,0,0,2,9,P,4.5
AAPL,125,6/20/2025,0,0,3,1,C,0.333333333
AAPL,125,9/19/2025,,0,,15,P,#DIV/0!
AAPL,125,12/19/2025,0,0,18,16,C,0.888888889
AAPL,125,1/16/2026,0,0,73,4,C,0.054794521
AAPL,125,6/18/2026,0,0,1,1,C,1
AAPL,130,1/19/2024,0,0,63,12,C,0.19047619
AAPL,130,1/26/2024,0,0,0,3,P,#DIV/0!
AAPL,130,2/2/2024,0,0,0,2,P,#DIV/0!
AAPL,130,2/9/2024,,0,,2,P,#DIV/0!
AAPL,130,2/16/2024,0,0,2,17,P,8.5
AAPL,130,2/23/2024,0,0,31,2,C,0.064516129
AAPL,130,3/15/2024,0,0,16,4,C,0.25
AAPL,130,4/19/2024,0,0,2,4,P,2
AAPL,130,5/17/2024,0,0,0,1,P,#DIV/0!
AAPL,130,6/21/2024,0,0,20,70,P,3.5
AAPL,130,7/19/2024,0,0,4,1,C,0.25
AAPL,130,8/16/2024,0,0,0,0,C,0
AAPL,130,9/20/2024,0,0,2,22,P,11
AAPL,130,12/20/2024,0,0,20,6,C,0.3
AAPL,130,1/17/2025,0,0,2,1,C,0.5
AAPL,130,6/20/2025,0,0,1,5,P,5
AAPL,130,9/19/2025,0,0,4,1,C,0.25
AAPL,130,12/19/2025,0,0,1,2,P,2
AAPL,130,1/16/2026,0,0,1,19,P,19
AAPL,130,6/18/2026,0,0,1,2,P,2
AAPL,135,1/19/2024,0,0,5,8,P,1.6
AAPL,135,1/26/2024,0,0,0,25,P,#DIV/0!
AAPL,135,2/2/2024,0,0,1,1,C,1
AAPL,135,2/9/2024,0,0,1,2,P,2
AAPL,135,2/16/2024,0,0,2,5,P,2.5
AAPL,135,2/23/2024,,0,,0,C,0
AAPL,135,3/1/2024,,0,,0,C,0
AAPL,135,3/15/2024,0,0,2,53,P,26.5
AAPL,135,4/19/2024,0,0,1,30,P,30
AAPL,135,5/17/2024,0,0,2,2,C,1
AAPL,135,6/21/2024,0,0,1,9,P,9
AAPL,135,7/19/2024,0,0,2,1,C,0.5
AAPL,135,8/16/2024,,0,,1,P,#DIV/0!
AAPL,135,9/20/2024,0,0,1,12,P,12
AAPL,135,12/20/2024,0,0,1,3,P,3
AAPL,135,1/17/2025,0,0,10,1,C,0.1
AAPL,135,6/20/2025,0,0,21,7,C,0.333333333
AAPL,135,9/19/2025,3,0,2,4,P,2
AAPL,135,12/19/2025,0,0,1,1,C,1
AAPL,135,1/16/2026,0,0,3,19,P,6.333333333
AAPL,135,6/18/2026,0,0,23,0,C,0
AAPL,140,1/19/2024,0,0,59,14,C,0.237288136
AAPL,140,1/26/2024,0,0,1,12,P,12
AAPL,140,2/2/2024,0,0,1,1,C,1
AAPL,140,2/9/2024,0,0,1,6,P,6
AAPL,140,2/16/2024,0,0,11,18,P,1.636363636
AAPL,140,2/23/2024,0,0,0,1,P,#DIV/0!
AAPL,140,3/1/2024,,0,,0,C,0
AAPL,140,3/15/2024,0,0,1,113,P,113
AAPL,140,4/19/2024,0,0,4,70,P,17.5
AAPL,140,5/17/2024,0,0,1,1,C,1
AAPL,140,6/21/2024,0,0,72,23,C,0.319444444
AAPL,140,7/19/2024,0,0,1,2,P,2
AAPL,140,8/16/2024,0,0,0,5,P,#DIV/0!
AAPL,140,9/20/2024,0,0,1,2,P,2
AAPL,140,12/20/2024,0,0,54,8,C,0.148148148
AAPL,140,1/17/2025,0,0,32,19,C,0.59375
AAPL,140,6/20/2025,0,0,2,20,P,10
AAPL,140,9/19/2025,0,0,1,1,C,1
AAPL,140,12/19/2025,0,0,2,5,P,2.5
AAPL,140,1/16/2026,0,0,1,10,P,10
AAPL,140,6/18/2026,0,0,101,0,C,0
AAPL,145,1/19/2024,0,0,79,100,P,1.265822785
AAPL,145,1/26/2024,0,0,2,11,P,5.5
AAPL,145,2/2/2024,0,0,1,74,P,74
AAPL,145,2/9/2024,0,0,0,5,P,#DIV/0!
AAPL,145,2/16/2024,0,0,10,33,P,3.3
AAPL,145,2/23/2024,0,0,0,1,P,#DIV/0!
AAPL,145,3/1/2024,0,0,0,0,C,0
AAPL,145,3/15/2024,0,0,16,137,P,8.5625
AAPL,145,4/19/2024,0,0,15,124,P,8.266666667
AAPL,145,5/17/2024,0,0,6,1,C,0.166666667
AAPL,145,6/21/2024,0,0,5,8,P,1.6
AAPL,145,7/19/2024,0,0,11,1,C,0.090909091
AAPL,145,8/16/2024,0,0,0,1,P,#DIV/0!
AAPL,145,9/20/2024,0,0,4,1,C,0.25
AAPL,145,12/20/2024,0,0,1,3,P,3
AAPL,145,1/17/2025,0,0,3,4,P,1.333333333
AAPL,145,6/20/2025,0,0,10,2,C,0.2
AAPL,145,9/19/2025,0,0,21,2,C,0.095238095
AAPL,145,12/19/2025,0,0,3,1,C,0.333333333
AAPL,145,1/16/2026,0,0,8,3,C,0.375
AAPL,145,6/18/2026,0,0,8,3,C,0.375
AAPL,150,1/19/2024,0,0,152,37,C,0.243421053
AAPL,150,1/26/2024,0,0,22,71,P,3.227272727
AAPL,150,2/2/2024,0,0,3,17,P,5.666666667
AAPL,150,2/9/2024,0,0,2,3,P,1.5
AAPL,150,2/16/2024,0,0,12,53,P,4.416666667
AAPL,150,2/23/2024,0,0,3,7,P,2.333333333
AAPL,150,3/1/2024,,0,,0,C,0
AAPL,150,3/15/2024,0,0,19,266,P,14
AAPL,150,4/19/2024,0,0,1,42,P,42
AAPL,150,5/17/2024,0,0,2,45,P,22.5
AAPL,150,6/21/2024,0,0,5,37,P,7.4
AAPL,150,7/19/2024,0,0,3,17,P,5.666666667
AAPL,150,8/16/2024,0,0,2,1,C,0.5
AAPL,150,9/20/2024,0,0,1,25,P,25
AAPL,150,12/20/2024,0,0,1,21,P,21
AAPL,150,1/17/2025,0,0,76,81,P,1.065789474
AAPL,150,6/20/2025,0,0,109,2,C,0.018348624
AAPL,150,9/19/2025,0,0,1,1,C,1
AAPL,150,12/19/2025,0,0,29,127,P,4.379310345
AAPL,150,1/16/2026,0,0,21,10,C,0.476190476
AAPL,150,6/18/2026,0,0,21,9,C,0.428571429
AAPL,152.5,1/19/2024,0,0,0,0,C,0
AAPL,152.5,1/26/2024,,0,,0,C,0
AAPL,155,1/19/2024,0,0,70,95,P,1.357142857
AAPL,155,1/26/2024,0,0,4,297,P,74.25
AAPL,155,2/2/2024,0,0,1,39,P,39
AAPL,155,2/9/2024,0,0,2,44,P,22
AAPL,155,2/16/2024,0,0,1,139,P,139
AAPL,155,2/23/2024,0,0,1,26,P,26
AAPL,155,3/1/2024,0,0,0,0,C,0
AAPL,155,3/15/2024,0,0,3,100,P,33.33333333
AAPL,155,4/19/2024,0,0,94,38,C,0.404255319
AAPL,155,5/17/2024,0,0,12,2,C,0.166666667
AAPL,155,6/21/2024,0,0,12,195,P,16.25
AAPL,155,7/19/2024,0,0,11,73,P,6.636363636
AAPL,155,8/16/2024,0,0,4,8,P,2
AAPL,155,9/20/2024,0,0,2,213,P,106.5
AAPL,155,12/20/2024,0,0,1,2,P,2
AAPL,155,1/17/2025,0,0,3,1,C,0.333333333
AAPL,155,6/20/2025,0,0,6,1,C,0.166666667
AAPL,155,9/19/2025,0,0,1,1,C,1
AAPL,155,12/19/2025,0,0,2,129,P,64.5
AAPL,155,1/16/2026,0,0,1,1,C,1
AAPL,155,6/18/2026,0,0,2,0,C,0
AAPL,157.5,1/19/2024,0,0,1,2,P,2
AAPL,157.5,1/26/2024,,0,,0,C,0
AAPL,160,1/19/2024,0,0,640,213,C,0.3328125
AAPL,160,1/26/2024,0,0,13,40,P,3.076923077
AAPL,160,2/2/2024,0,0,2,133,P,66.5
AAPL,160,2/9/2024,0,0,12,96,P,8
AAPL,160,2/16/2024,0,0,617,193,C,0.31280389
AAPL,160,2/23/2024,0,0,1,47,P,47
AAPL,160,3/1/2024,0,0,0,0,C,0
AAPL,160,3/15/2024,0,0,17,803,P,47.23529412
AAPL,160,4/19/2024,0,0,1,27,P,27
AAPL,160,5/17/2024,0,0,70,16,C,0.228571429
AAPL,160,6/21/2024,0,0,25,58,P,2.32
AAPL,160,7/19/2024,0,0,5,208,P,41.6
AAPL,160,8/16/2024,0,0,2,31,P,15.5
AAPL,160,9/20/2024,0,0,2,11,P,5.5
AAPL,160,12/20/2024,0,0,7,12,P,1.714285714
AAPL,160,1/17/2025,0,0,12,198,P,16.5
AAPL,160,6/20/2025,0,0,3,1,C,0.333333333
AAPL,160,9/19/2025,0,0,1,1,C,1
AAPL,160,12/19/2025,0,0,1,22,P,22
AAPL,160,1/16/2026,0,0,3,10,P,3.333333333
AAPL,160,6/18/2026,0,0,1,1,C,1
AAPL,162.5,1/19/2024,0,0,2,606,P,303
AAPL,162.5,1/26/2024,0,0,0,0,C,0
AAPL,165,1/19/2024,0,0,284,197,C,0.693661972
AAPL,165,1/26/2024,0,0,67,163,P,2.432835821
AAPL,165,2/2/2024,0,0,2,180,P,90
AAPL,165,2/9/2024,0,0,2,18,P,9
AAPL,165,2/16/2024,0,0,126,479,P,3.801587302
AAPL,165,2/23/2024,0,0,16,44,P,2.75
AAPL,165,3/1/2024,0,0,0,0,C,0
AAPL,165,3/15/2024,0,0,123,531,P,4.317073171
AAPL,165,4/19/2024,0,0,7,76,P,10.85714286
AAPL,165,5/17/2024,0,0,3,179,P,59.66666667
AAPL,165,6/21/2024,0,0,10,12,P,1.2
AAPL,165,7/19/2024,0,0,2,19,P,9.5
AAPL,165,8/16/2024,0,0,1,112,P,112
AAPL,165,9/20/2024,0,0,2,16,P,8
AAPL,165,12/20/2024,0,0,2,265,P,132.5
AAPL,165,1/17/2025,0,0,27,15,C,0.555555556
AAPL,165,6/20/2025,0,0,2,11,P,5.5
AAPL,165,9/19/2025,0,0,4,1,C,0.25
AAPL,165,12/19/2025,0,0,79,10,C,0.126582278
AAPL,165,1/16/2026,0,0,1,1,C,1
AAPL,165,6/18/2026,0,0,12,1,C,0.083333333
AAPL,167.5,1/19/2024,0,0,52,358,P,6.884615385
AAPL,167.5,1/26/2024,0,0,0,0,C,0
AAPL,170,1/19/2024,0,0,410,5395,P,13.15853659
AAPL,170,1/26/2024,0,0,40,577,P,14.425
AAPL,170,2/2/2024,0,0,2,440,P,220
AAPL,170,2/9/2024,0,0,27,251,P,9.296296296
AAPL,170,2/16/2024,0,0,256,1506,P,5.8828125
AAPL,170,2/23/2024,0,0,12,32,P,2.666666667
AAPL,170,3/1/2024,0,0,0,0,C,0
AAPL,170,3/15/2024,0,0,32,839,P,26.21875
AAPL,170,4/19/2024,0,0,22,263,P,11.95454545
AAPL,170,5/17/2024,0,0,14,28,P,2
AAPL,170,6/21/2024,0,0,117,37,C,0.316239316
AAPL,170,7/19/2024,0,0,6,215,P,35.83333333
AAPL,170,8/16/2024,0,0,8,2,C,0.25
AAPL,170,9/20/2024,0,0,6,3,C,0.5
AAPL,170,12/20/2024,0,0,1,2,P,2
AAPL,170,1/17/2025,0,0,46,5,C,0.108695652
AAPL,170,6/20/2025,0,0,2,22,P,11
AAPL,170,9/19/2025,0,0,2,3,P,1.5
AAPL,170,12/19/2025,0,0,3,2,C,0.666666667
AAPL,170,1/16/2026,0,0,2,5,P,2.5
AAPL,170,6/18/2026,0,0,82,5,C,0.06097561
AAPL,172.5,1/19/2024,0,0,53,710,P,13.39622642
AAPL,172.5,1/26/2024,0,0,0,0,C,0
AAPL,175,1/19/2024,0,0,720,3094,P,4.297222222
AAPL,175,1/26/2024,0,0,221,1366,P,6.180995475
AAPL,175,2/2/2024,0,0,265,954,P,3.6
AAPL,175,2/9/2024,0,0,423,857,P,2.026004728
AAPL,175,2/16/2024,0,0,101,2542,P,25.16831683
AAPL,175,2/23/2024,0,0,10,102,P,10.2
AAPL,175,3/1/2024,0,0,0,0,C,0
AAPL,175,3/15/2024,0,0,346,668,P,1.930635838
AAPL,175,4/19/2024,0,0,153,291,P,1.901960784
AAPL,175,5/17/2024,0,0,15,132,P,8.8
AAPL,175,6/21/2024,0,0,13,240,P,18.46153846
AAPL,175,7/19/2024,0,0,52,136,P,2.615384615
AAPL,175,8/16/2024,0,0,14,7,C,0.5
AAPL,175,9/20/2024,0,0,2,83,P,41.5
AAPL,175,12/20/2024,0,0,6,26,P,4.333333333
AAPL,175,1/17/2025,0,0,14,22,P,1.571428571
AAPL,175,6/20/2025,0,0,42,1,C,0.023809524
AAPL,175,9/19/2025,0,0,18,1,C,0.055555556
AAPL,175,12/19/2025,0,0,2,1,C,0.5
AAPL,175,1/16/2026,0,0,6,8,P,1.333333333
